dataset,run_name,lambda_prune_ratio,lambda_div_ratio,mse_stage1_baseline,mse_final,trees_initial,trees_after_weight_prune,trees_final,prune_threshold,corr_threshold
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,33.9260,60,26,22,0.0100,0.9500
slice,Run 3 (Prune Only),0.5000,0.0000,40.7072,34.1376,60,26,24,0.0100,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,93.9087,60,37,7,0.0050,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,36.6229,60,37,33,0.0050,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,42.0911,60,37,35,0.0050,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,93.9087,60,52,7,0.0010,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,36.9912,60,52,48,0.0010,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,39.4796,60,52,50,0.0010,0.9700
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,95.9006,60,26,5,0.0100,0.9000
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,33.1983,60,26,24,0.0100,0.9500
slice,Run 1 (Full Model),0.5000,0.5000,40.7072,33.1983,60,26,24,0.0100,0.9700
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,104.0825,60,38,6,0.0050,0.9000
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,31.3067,60,38,36,0.0050,0.9500
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,31.3067,60,38,36,0.0050,0.9700
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,91.5654,60,58,9,0.0010,0.9000
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,36.8666,60,58,54,0.0010,0.9500
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,39.2533,60,58,56,0.0010,0.9700
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,109.6768,60,23,4,0.0100,0.9000
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,33.6209,60,23,23,0.0100,0.9500
slice,Run 1 (Full Model),0.5000,1.0000,40.7072,33.6209,60,23,23,0.0100,0.9700
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,65.6145,60,15,5,0.0050,0.9000
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,35.9088,60,15,13,0.0050,0.9500
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,35.9088,60,15,13,0.0050,0.9700
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,99.3847,60,49,8,0.0010,0.9000
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,36.7193,60,49,47,0.0010,0.9500
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,36.7193,60,49,47,0.0010,0.9700
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,112.5676,60,7,2,0.0100,0.9000
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,36.7823,60,7,7,0.0100,0.9500
slice,Run 3 (Prune Only),1.0000,0.0000,40.7072,36.7823,60,7,7,0.0100,0.9700
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,88.7481,60,40,7,0.0050,0.9000
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,33.4294,60,40,36,0.0050,0.9500
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,35.9831,60,40,38,0.0050,0.9700
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,91.5654,60,55,9,0.0010,0.9000
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,37.2863,60,55,51,0.0010,0.9500
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,39.5462,60,55,53,0.0010,0.9700
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,85.2701,60,25,6,0.0100,0.9000
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,33.9172,60,25,23,0.0100,0.9500
slice,Run 1 (Full Model),1.0000,0.5000,40.7072,37.2122,60,25,25,0.0100,0.9700
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,89.4731,60,37,5,0.0050,0.9000
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,33.8956,60,37,33,0.0050,0.9500
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,34.7871,60,37,35,0.0050,0.9700
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,91.5654,60,56,9,0.0010,0.9000
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,36.8961,60,56,52,0.0010,0.9500
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,38.8855,60,56,54,0.0010,0.9700
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,105.0791,60,25,2,0.0100,0.9000
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,33.9982,60,25,25,0.0100,0.9500
slice,Run 1 (Full Model),1.0000,1.0000,40.7072,33.9982,60,25,25,0.0100,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.7039,60,58,1,0.0050,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.1512,60,58,12,0.0050,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.0696,60,58,32,0.0050,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.7039,60,59,1,0.0010,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.1512,60,59,12,0.0010,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.0695,60,59,33,0.0010,0.9700
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.7039,60,58,1,0.0100,0.9000
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.1512,60,58,12,0.0100,0.9500
bike,Run 2 (No Reg),0.0000,0.0000,0.0594,0.0696,60,58,32,0.0100,0.9700
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.7039,60,59,1,0.0050,0.9000
bike,Run 4 (Div Only),0.0000,0.5000,0.0594,0.1483,60,59,13,0.0050,0.9500
