dataset  , task          , lambda_prune, lambda_div, prune_threshold, corr_threshold, full_metric        , full_r2            , full_f1           , full_auc          , pre_pruned_metric  , pre_r2             , pre_f1            , pre_auc           , final_pruned_metric, final_r2           , final_f1          , final_auc         , initial_main_loss , initial_prune_loss, initial_div_loss    , initial_total_loss, final_main_loss    , final_prune_loss   , final_div_loss      , final_total_loss   , full_size, shap_size, pruned_weighted_size, final_size
kin40k,regression,1.0,0.0,0.01,0.93,0.8680958515124892,0.2513647582610985,,,0.8761965316995961,0.23732771375340123,,,0.7675120307653092,0.41479869024078386,,,1.2759255170822144,0.8334802985191345,0.03229166939854622,2.109405755996704,0.8145021796226501,0.47898420691490173,0.14687097072601318,1.2934863567352295,200,60,21,21
kin40k,regression,1.0,1.0,0.01,0.93,0.8680958515124892,0.2513647582610985,,,0.8761965316995961,0.23732771375340123,,,0.8079614029434894,0.35149080951438516,,,0.8914797306060791,0.867953896522522,0.027244633063673973,1.7866783142089844,0.7239800095558167,0.6264742016792297,0.06895900517702103,1.4194132089614868,200,60,29,29
covertype,classification,0.0,0.0,0.01,0.92,0.7435372276341606,,0.7428182617403066,0.7450152456923902,0.7425228065702558,,0.7425228065702558,0.7447885794156917,0.7616418657350281,,0.7616418657350281,0.7630867335251829,1.3127089738845825,0.9240518808364868,0.026670217514038086,1.3127089738845825,0.8333656787872314,0.9501840472221375,0.0219709649682045,0.8333656787872314,200,60,60,48
covertype,classification,0.0,1.0,0.01,0.92,0.7435372276341606,,0.7428182617403066,0.7450152456923902,0.7425228065702558,,0.7425228065702558,0.7447885794156917,0.7616418657350281,,0.7616418657350281,0.7630867335251829,1.4814743995666504,0.9273160099983215,0.02581699937582016,1.5072914361953735,0.8562302589416504,0.951412558555603,0.02155865915119648,0.8777889013290405,200,60,60,48
covertype,classification,1.0,0.0,0.01,0.92,0.7435372276341606,,0.7428182617403066,0.7450152456923902,0.7425228065702558,,0.7425228065702558,0.7447885794156917,0.7816349058398513,,0.7816349058398513,0.7819070390253818,1.610515832901001,0.913140594959259,0.027637872844934464,2.5236563682556152,1.0123659372329712,0.4691613018512726,0.1664429008960724,1.4815272092819214,200,60,6,6
covertype,classification,1.0,1.0,0.01,0.92,0.7435372276341606,,0.7428182617403066,0.7450152456923902,0.7425228065702558,,0.7425228065702558,0.7447885794156917,0.7743765604672657,,0.7743765604672657,0.7759368064486322,1.6561683416366577,0.9198496341705322,0.027043921872973442,2.6030616760253906,0.9300059080123901,0.6578150391578674,0.07276984304189682,1.6605908870697021,200,60,16,14
slice,regression,0.0,0.0,0.01,0.95,7.861610312045576,0.877967183470482,,,6.236375741488257,0.9232076148952453,,,6.236375741488257,0.9232076148952453,,,1.8036973476409912,0.9275662899017334,0.023875584825873375,1.8036973476409912,0.1671776920557022,0.9533446431159973,0.021073460578918457,0.1671776920557022,200,60,60,60
slice,regression,0.0,0.7,0.01,0.95,7.861610312045576,0.877967183470482,,,6.236375741488257,0.9232076148952453,,,6.236375741488257,0.9232076148952453,,,1.983512043952942,0.9186497330665588,0.02532087452709675,2.0012366771698,0.16676020622253418,0.9622377753257751,0.019002273678779602,0.18006180226802826,200,60,60,60
slice,regression,1.0,0.0,0.01,0.95,7.861610312045576,0.877967183470482,,,6.236375741488257,0.9232076148952453,,,5.8140055911833874,0.933257188098893,,,1.235084891319275,0.9273898601531982,0.02401372604072094,2.1624746322631836,0.2743147313594818,0.5576556921005249,0.13150690495967865,0.8319704532623291,200,60,21,21
slice,regression,1.0,0.7,0.01,0.95,7.861610312045576,0.877967183470482,,,6.236375741488257,0.9232076148952453,,,5.9826544505759225,0.9293289655716741,,,1.6682929992675781,0.9137323498725891,0.025359192863106728,2.5997767448425293,0.24983954429626465,0.6345471739768982,0.09038640558719635,0.9476572275161743,200,60,33,33
